Campaign,Ad Group,Ad type,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2
WW | Search | Naturopath – Core,Naturopath – Wellington,Responsive search ad,https://waterwellclinic.co.nz/,Wellington Naturopath,Naturopath In Wellington,Book a Naturopath Consult,Qualified Naturopath,Root-Cause Natural Care,Free 15-Min Discovery Call,10+ Years Experience,Personalised Health Plans,"Natural, Not Just Surface",A Plan Built For You,32 Five-Star Reviews,See a Local Naturopath,Registered Naturopath NZ,Book Your Free Discovery,,"Qualified Wellington naturopath. Personalised, natural care, never a template.",Root-cause naturopathy that looks past symptoms to what's really going on.,"Start with a free 15-minute discovery call. No pressure, just a real conversation.",10+ years and hundreds of patients in natural health. A plan built around you.,naturopath,wellington
WW | Search | Naturopath – Core,Naturopath – Consultation,Responsive search ad,https://waterwellclinic.co.nz/,Book a Naturopath Consult,Naturopath Consultation,See a Qualified Naturopath,Wellington Naturopath,Free 15-Min Discovery Call,Root-Cause Natural Care,10+ Years Experience,Personalised Health Plans,A Plan Built For You,"Natural, Not Just Surface",32 Five-Star Reviews,Book Your First Consult,In Clinic Or By Video,Enquire Today,,"Start with a free 15-minute discovery call. No pressure, just a real conversation.",Root-cause naturopathy that looks past symptoms to what's really going on.,10+ years and hundreds of patients in natural health. A plan built around you.,"Qualified Wellington naturopath. Personalised, natural care, never a template.",naturopath,consult
WW | Search | Naturopath – Core,Naturopath – Online / Virtual,Responsive search ad,https://waterwellclinic.co.nz/,Online Naturopath Consult,See a Naturopath By Video,Virtual Naturopath NZ,Telehealth Naturopath,"Same Depth, From Home",Free 15-Min Discovery Call,Qualified Naturopath,Root-Cause Natural Care,10+ Years Experience,Personalised Health Plans,No Waiting Room Needed,A Plan Built For You,32 Five-Star Reviews,Book a Video Consult,,"Full naturopathic consults by secure video, wherever you are in New Zealand.","Start with a free 15-minute discovery call. No pressure, just a real conversation.",Root-cause naturopathy that looks past symptoms to what's really going on.,10+ years and hundreds of patients in natural health. A plan built around you.,online,naturopath
WW | Search | Health Concerns,Gut & Digestive Health,Responsive search ad,https://waterwellclinic.co.nz/,Naturopath For Gut Health,Natural Help For Bloating,"Gut Health, Root Cause",Support For IBS & Bloating,Wellington Naturopath,Free 15-Min Discovery Call,Qualified Naturopath,Personalised Gut Plans,10+ Years Experience,Look Past The Symptoms,A Plan Built For You,32 Five-Star Reviews,Book Your Free Discovery,,,"Bloating, IBS and gut issues, looked at from the root cause. Natural, personalised care.","Start with a free 15-minute discovery call. No pressure, just a real conversation.",10+ years and hundreds of patients in natural health. A plan built around you.,"Qualified Wellington naturopath. A gut-health plan built around you, not a template.",gut-health,natural
WW | Search | Health Concerns,Hormonal / Women's Health,Responsive search ad,https://waterwellclinic.co.nz/,Naturopath For Hormones,Natural Hormone Support,Help With Hormonal Balance,PMS & Menopause Support,Women's Health Naturopath,Wellington Naturopath,Free 15-Min Discovery Call,Qualified Naturopath,Personalised Health Plans,10+ Years Experience,Root-Cause Natural Care,A Plan Built For You,Book Your Free Discovery,,,"Natural support for hormonal balance, PMS and menopause, built around your body.","Start with a free 15-minute discovery call. No pressure, just a real conversation.",Root-cause naturopathy that looks past symptoms to what's really going on.,10+ years and hundreds of patients in natural health. A plan built around you.,hormones,natural
WW | Search | Health Concerns,Fatigue & Low Energy,Responsive search ad,https://waterwellclinic.co.nz/,Naturopath For Fatigue,Tired All The Time?,Natural Help For Low Energy,Support For Adrenal Fatigue,Wellington Naturopath,Free 15-Min Discovery Call,Qualified Naturopath,Find The Root Of Fatigue,10+ Years Experience,Personalised Health Plans,A Plan Built For You,32 Five-Star Reviews,Book Your Free Discovery,,,"Ongoing tiredness looked at from the root cause. Natural, personalised support.","Start with a free 15-minute discovery call. No pressure, just a real conversation.",10+ years and hundreds of patients in natural health. A plan built around you.,Root-cause naturopathy that looks past symptoms to what's really going on.,fatigue,natural
WW | Search | Health Concerns,Stress / Anxiety / Sleep,Responsive search ad,https://waterwellclinic.co.nz/,Naturopath For Stress,Natural Help For Anxiety,Support For Better Sleep,Help With Stress & Burnout,Wellington Naturopath,Free 15-Min Discovery Call,Qualified Naturopath,"Calm, Root-Cause Support",10+ Years Experience,Personalised Health Plans,A Plan Built For You,32 Five-Star Reviews,Book Your Free Discovery,,,"Natural support for stress, sleep and low mood, built around what's driving it.","Start with a free 15-minute discovery call. No pressure, just a real conversation.",Root-cause naturopathy that looks past symptoms to what's really going on.,10+ years and hundreds of patients in natural health. A plan built around you.,stress-sleep,natural
WW | Search | Health Concerns,Thyroid,Responsive search ad,https://waterwellclinic.co.nz/,Naturopath For Thyroid,Natural Thyroid Support,"Thyroid Health, Root Cause",Support For Low Thyroid,Wellington Naturopath,Free 15-Min Discovery Call,Qualified Naturopath,Personalised Health Plans,10+ Years Experience,A Plan Built For You,Root-Cause Natural Care,Book Your Free Discovery,,,,"Natural support for thyroid health, looked at alongside your wider wellbeing.","Start with a free 15-minute discovery call. No pressure, just a real conversation.",10+ years and hundreds of patients in natural health. A plan built around you.,"Qualified Wellington naturopath. Personalised, natural care, never a template.",thyroid,natural
WW | Search | Health Concerns,Skin – Acne / Eczema,Responsive search ad,https://waterwellclinic.co.nz/,Naturopath For Eczema,Naturopath For Acne,Natural Skin Support,"Eczema, From The Inside Out",Skin Health Specialist,Wellington Naturopath,Free 15-Min Discovery Call,Qualified Naturopath,10+ Years In Skin Health,"Treat The Root, Not Skin",Personalised Health Plans,32 Five-Star Reviews,Book Your Free Discovery,,,"Eczema, acne and psoriasis, looked at from the inside out. Natural, personalised care.",Kohei knows skin from the inside. 10+ years helping people with stubborn skin.,"Start with a free 15-minute discovery call. No pressure, just a real conversation.",Root-cause naturopathy that looks past symptoms to what's really going on.,skin-health,natural
WW | Search | Health Concerns,Weight & Metabolism,Responsive search ad,https://waterwellclinic.co.nz/,Naturopath For Weight,Natural Weight Support,Metabolism & Weight Help,"Weight, Root-Cause Approach",Wellington Naturopath,Free 15-Min Discovery Call,Qualified Naturopath,Personalised Health Plans,10+ Years Experience,A Plan Built For You,"No Crash Diets, Real Change",Book Your Free Discovery,,,,"Natural, root-cause support for weight and metabolism. No crash diets, no gimmicks.","Start with a free 15-minute discovery call. No pressure, just a real conversation.",10+ years and hundreds of patients in natural health. A plan built around you.,"Qualified Wellington naturopath. Personalised, natural care, never a template.",weight,natural
WW | Search | Health Concerns,Immune Health,Responsive search ad,https://waterwellclinic.co.nz/,Naturopath For Immunity,Natural Immune Support,Build Immune Resilience,Support For Low Immunity,Wellington Naturopath,Free 15-Min Discovery Call,Qualified Naturopath,Personalised Health Plans,10+ Years Experience,Root-Cause Natural Care,A Plan Built For You,Book Your Free Discovery,,,,"Natural support to build immune resilience, tailored to your health and history.","Start with a free 15-minute discovery call. No pressure, just a real conversation.",10+ years and hundreds of patients in natural health. A plan built around you.,Root-cause naturopathy that looks past symptoms to what's really going on.,immune,natural
WW | Search | Services,Nutrition & Diet Consult,Responsive search ad,https://waterwellclinic.co.nz/,Nutrition Consultation,Naturopath & Nutrition,A Nutrition Plan For You,Food As Real Medicine,Wellington Naturopath,Free 15-Min Discovery Call,Qualified Naturopath,Personalised Diet Plans,10+ Years Experience,Root-Cause Natural Care,No Fad Diets,Book Your Free Discovery,,,,"A nutrition plan built around your body and your life, not a one-size template.","Start with a free 15-minute discovery call. No pressure, just a real conversation.",10+ years and hundreds of patients in natural health. A plan built around you.,"Qualified Wellington naturopath. Personalised, natural care, never a template.",nutrition,diet
WW | Search | Services,Herbal Medicine,Responsive search ad,https://waterwellclinic.co.nz/,Herbal Medicine,Medical Herbalist NZ,Practitioner-Grade Herbs,Herbal Medicine Consult,Wellington Naturopath,Free 15-Min Discovery Call,Qualified Naturopath,Herbs Matched To You,10+ Years Experience,Root-Cause Natural Care,Personalised Health Plans,Book Your Free Discovery,,,,"Practitioner-grade herbal medicine, prescribed and matched to your body.","Start with a free 15-minute discovery call. No pressure, just a real conversation.",10+ years and hundreds of patients in natural health. A plan built around you.,"Qualified Wellington naturopath. Personalised, natural care, never a template.",herbal,medicine
WW | Search | Services,Functional Testing,Responsive search ad,https://waterwellclinic.co.nz/,Functional Testing,Naturopath Lab Testing,Hormone & Blood Testing,"Test, Don't Guess",Wellington Naturopath,Free 15-Min Discovery Call,Qualified Naturopath,Get Real Answers,10+ Years Experience,Root-Cause Natural Care,Personalised Health Plans,Book Your Free Discovery,,,,"Functional and lab testing to find the root cause, not just treat the symptoms.","Start with a free 15-minute discovery call. No pressure, just a real conversation.",10+ years and hundreds of patients in natural health. A plan built around you.,"Qualified Wellington naturopath. Personalised, natural care, never a template.",testing,functional
WW | Search | Brand,Waterwell – Brand,Responsive search ad,https://waterwellclinic.co.nz/,Waterwell Clinic,Waterwell Naturopath,"Kohei Iguchi, Naturopath",Book With Waterwell,Qualified Naturopath,Free 15-Min Discovery Call,Root-Cause Natural Care,10+ Years Experience,32 Five-Star Reviews,Personalised Health Plans,Book Your Free Discovery,The Official Waterwell Site,,,,"Waterwell Clinic. Natural, root-cause naturopathy with Kohei Iguchi. Book online.","Start with a free 15-minute discovery call. No pressure, just a real conversation.",10+ years and 32 five-star reviews in natural health. A plan built around you.,Root-cause naturopathy that looks past symptoms to what's really going on.,waterwell,clinic
