Campaign,Ad Group,Keyword,Match Type,Status
WW | Search | Naturopath – Core,Naturopath – Wellington,naturopath wellington,Phrase,Enabled
WW | Search | Naturopath – Core,Naturopath – Wellington,naturopath wellington,Exact,Enabled
WW | Search | Naturopath – Core,Naturopath – Wellington,wellington naturopath,Phrase,Enabled
WW | Search | Naturopath – Core,Naturopath – Wellington,wellington naturopath,Exact,Enabled
WW | Search | Naturopath – Core,Naturopath – Wellington,naturopath near me,Phrase,Enabled
WW | Search | Naturopath – Core,Naturopath – Wellington,naturopath near me,Exact,Enabled
WW | Search | Naturopath – Core,Naturopath – Wellington,naturopath in wellington,Phrase,Enabled
WW | Search | Naturopath – Core,Naturopath – Wellington,naturopath in wellington,Exact,Enabled
WW | Search | Naturopath – Core,Naturopath – Wellington,best naturopath wellington,Phrase,Enabled
WW | Search | Naturopath – Core,Naturopath – Wellington,best naturopath wellington,Exact,Enabled
WW | Search | Naturopath – Core,Naturopath – Consultation,naturopath consultation,Phrase,Enabled
WW | Search | Naturopath – Core,Naturopath – Consultation,naturopath consultation,Exact,Enabled
WW | Search | Naturopath – Core,Naturopath – Consultation,naturopath consult,Phrase,Enabled
WW | Search | Naturopath – Core,Naturopath – Consultation,naturopath consult,Exact,Enabled
WW | Search | Naturopath – Core,Naturopath – Consultation,naturopath appointment,Phrase,Enabled
WW | Search | Naturopath – Core,Naturopath – Consultation,naturopath appointment,Exact,Enabled
WW | Search | Naturopath – Core,Naturopath – Consultation,book a naturopath,Phrase,Enabled
WW | Search | Naturopath – Core,Naturopath – Consultation,book a naturopath,Exact,Enabled
WW | Search | Naturopath – Core,Naturopath – Consultation,see a naturopath,Phrase,Enabled
WW | Search | Naturopath – Core,Naturopath – Consultation,see a naturopath,Exact,Enabled
WW | Search | Naturopath – Core,Naturopath – Online / Virtual,online naturopath,Phrase,Enabled
WW | Search | Naturopath – Core,Naturopath – Online / Virtual,online naturopath,Exact,Enabled
WW | Search | Naturopath – Core,Naturopath – Online / Virtual,online naturopath nz,Phrase,Enabled
WW | Search | Naturopath – Core,Naturopath – Online / Virtual,online naturopath nz,Exact,Enabled
WW | Search | Naturopath – Core,Naturopath – Online / Virtual,virtual naturopath,Phrase,Enabled
WW | Search | Naturopath – Core,Naturopath – Online / Virtual,virtual naturopath,Exact,Enabled
WW | Search | Naturopath – Core,Naturopath – Online / Virtual,telehealth naturopath,Phrase,Enabled
WW | Search | Naturopath – Core,Naturopath – Online / Virtual,telehealth naturopath,Exact,Enabled
WW | Search | Naturopath – Core,Naturopath – Online / Virtual,naturopath video consult,Phrase,Enabled
WW | Search | Naturopath – Core,Naturopath – Online / Virtual,naturopath video consult,Exact,Enabled
WW | Search | Health Concerns,Gut & Digestive Health,naturopath for gut health,Phrase,Enabled
WW | Search | Health Concerns,Gut & Digestive Health,naturopath for gut health,Exact,Enabled
WW | Search | Health Concerns,Gut & Digestive Health,gut health naturopath,Phrase,Enabled
WW | Search | Health Concerns,Gut & Digestive Health,gut health naturopath,Exact,Enabled
WW | Search | Health Concerns,Gut & Digestive Health,naturopath for bloating,Phrase,Enabled
WW | Search | Health Concerns,Gut & Digestive Health,naturopath for bloating,Exact,Enabled
WW | Search | Health Concerns,Gut & Digestive Health,naturopath for ibs,Phrase,Enabled
WW | Search | Health Concerns,Gut & Digestive Health,naturopath for ibs,Exact,Enabled
WW | Search | Health Concerns,Gut & Digestive Health,natural help for bloating,Phrase,Enabled
WW | Search | Health Concerns,Gut & Digestive Health,natural help for bloating,Exact,Enabled
WW | Search | Health Concerns,Gut & Digestive Health,naturopath digestive issues,Phrase,Enabled
WW | Search | Health Concerns,Gut & Digestive Health,naturopath digestive issues,Exact,Enabled
WW | Search | Health Concerns,Hormonal / Women's Health,naturopath for hormones,Phrase,Enabled
WW | Search | Health Concerns,Hormonal / Women's Health,naturopath for hormones,Exact,Enabled
WW | Search | Health Concerns,Hormonal / Women's Health,hormonal imbalance naturopath,Phrase,Enabled
WW | Search | Health Concerns,Hormonal / Women's Health,hormonal imbalance naturopath,Exact,Enabled
WW | Search | Health Concerns,Hormonal / Women's Health,naturopath for pms,Phrase,Enabled
WW | Search | Health Concerns,Hormonal / Women's Health,naturopath for pms,Exact,Enabled
WW | Search | Health Concerns,Hormonal / Women's Health,naturopath for menopause,Phrase,Enabled
WW | Search | Health Concerns,Hormonal / Women's Health,naturopath for menopause,Exact,Enabled
WW | Search | Health Concerns,Hormonal / Women's Health,naturopath womens health,Phrase,Enabled
WW | Search | Health Concerns,Hormonal / Women's Health,naturopath womens health,Exact,Enabled
WW | Search | Health Concerns,Hormonal / Women's Health,natural hormone support,Phrase,Enabled
WW | Search | Health Concerns,Hormonal / Women's Health,natural hormone support,Exact,Enabled
WW | Search | Health Concerns,Fatigue & Low Energy,naturopath for fatigue,Phrase,Enabled
WW | Search | Health Concerns,Fatigue & Low Energy,naturopath for fatigue,Exact,Enabled
WW | Search | Health Concerns,Fatigue & Low Energy,naturopath for tiredness,Phrase,Enabled
WW | Search | Health Concerns,Fatigue & Low Energy,naturopath for tiredness,Exact,Enabled
WW | Search | Health Concerns,Fatigue & Low Energy,naturopath low energy,Phrase,Enabled
WW | Search | Health Concerns,Fatigue & Low Energy,naturopath low energy,Exact,Enabled
WW | Search | Health Concerns,Fatigue & Low Energy,adrenal fatigue naturopath,Phrase,Enabled
WW | Search | Health Concerns,Fatigue & Low Energy,adrenal fatigue naturopath,Exact,Enabled
WW | Search | Health Concerns,Fatigue & Low Energy,naturopath for chronic fatigue,Phrase,Enabled
WW | Search | Health Concerns,Fatigue & Low Energy,naturopath for chronic fatigue,Exact,Enabled
WW | Search | Health Concerns,Stress / Anxiety / Sleep,naturopath for stress,Phrase,Enabled
WW | Search | Health Concerns,Stress / Anxiety / Sleep,naturopath for stress,Exact,Enabled
WW | Search | Health Concerns,Stress / Anxiety / Sleep,naturopath for anxiety,Phrase,Enabled
WW | Search | Health Concerns,Stress / Anxiety / Sleep,naturopath for anxiety,Exact,Enabled
WW | Search | Health Concerns,Stress / Anxiety / Sleep,naturopath for sleep,Phrase,Enabled
WW | Search | Health Concerns,Stress / Anxiety / Sleep,naturopath for sleep,Exact,Enabled
WW | Search | Health Concerns,Stress / Anxiety / Sleep,naturopath for insomnia,Phrase,Enabled
WW | Search | Health Concerns,Stress / Anxiety / Sleep,naturopath for insomnia,Exact,Enabled
WW | Search | Health Concerns,Stress / Anxiety / Sleep,natural help for anxiety,Phrase,Enabled
WW | Search | Health Concerns,Stress / Anxiety / Sleep,natural help for anxiety,Exact,Enabled
WW | Search | Health Concerns,Stress / Anxiety / Sleep,naturopath burnout,Phrase,Enabled
WW | Search | Health Concerns,Stress / Anxiety / Sleep,naturopath burnout,Exact,Enabled
WW | Search | Health Concerns,Thyroid,naturopath for thyroid,Phrase,Enabled
WW | Search | Health Concerns,Thyroid,naturopath for thyroid,Exact,Enabled
WW | Search | Health Concerns,Thyroid,thyroid naturopath,Phrase,Enabled
WW | Search | Health Concerns,Thyroid,thyroid naturopath,Exact,Enabled
WW | Search | Health Concerns,Thyroid,naturopath hypothyroidism,Phrase,Enabled
WW | Search | Health Concerns,Thyroid,naturopath hypothyroidism,Exact,Enabled
WW | Search | Health Concerns,Thyroid,natural thyroid support,Phrase,Enabled
WW | Search | Health Concerns,Thyroid,natural thyroid support,Exact,Enabled
WW | Search | Health Concerns,Skin – Acne / Eczema,naturopath for eczema,Phrase,Enabled
WW | Search | Health Concerns,Skin – Acne / Eczema,naturopath for eczema,Exact,Enabled
WW | Search | Health Concerns,Skin – Acne / Eczema,naturopath for acne,Phrase,Enabled
WW | Search | Health Concerns,Skin – Acne / Eczema,naturopath for acne,Exact,Enabled
WW | Search | Health Concerns,Skin – Acne / Eczema,naturopath for skin,Phrase,Enabled
WW | Search | Health Concerns,Skin – Acne / Eczema,naturopath for skin,Exact,Enabled
WW | Search | Health Concerns,Skin – Acne / Eczema,natural eczema treatment,Phrase,Enabled
WW | Search | Health Concerns,Skin – Acne / Eczema,natural eczema treatment,Exact,Enabled
WW | Search | Health Concerns,Skin – Acne / Eczema,natural acne treatment,Phrase,Enabled
WW | Search | Health Concerns,Skin – Acne / Eczema,natural acne treatment,Exact,Enabled
WW | Search | Health Concerns,Skin – Acne / Eczema,naturopath for psoriasis,Phrase,Enabled
WW | Search | Health Concerns,Skin – Acne / Eczema,naturopath for psoriasis,Exact,Enabled
WW | Search | Health Concerns,Weight & Metabolism,naturopath for weight loss,Phrase,Enabled
WW | Search | Health Concerns,Weight & Metabolism,naturopath for weight loss,Exact,Enabled
WW | Search | Health Concerns,Weight & Metabolism,naturopath for metabolism,Phrase,Enabled
WW | Search | Health Concerns,Weight & Metabolism,naturopath for metabolism,Exact,Enabled
WW | Search | Health Concerns,Weight & Metabolism,natural weight loss help,Phrase,Enabled
WW | Search | Health Concerns,Weight & Metabolism,natural weight loss help,Exact,Enabled
WW | Search | Health Concerns,Weight & Metabolism,naturopath weight management,Phrase,Enabled
WW | Search | Health Concerns,Weight & Metabolism,naturopath weight management,Exact,Enabled
WW | Search | Health Concerns,Weight & Metabolism,naturopath for weight,Phrase,Enabled
WW | Search | Health Concerns,Weight & Metabolism,naturopath for weight,Exact,Enabled
WW | Search | Health Concerns,Immune Health,naturopath for immune health,Phrase,Enabled
WW | Search | Health Concerns,Immune Health,naturopath for immune health,Exact,Enabled
WW | Search | Health Concerns,Immune Health,naturopath immune support,Phrase,Enabled
WW | Search | Health Concerns,Immune Health,naturopath immune support,Exact,Enabled
WW | Search | Health Concerns,Immune Health,natural immune support,Phrase,Enabled
WW | Search | Health Concerns,Immune Health,natural immune support,Exact,Enabled
WW | Search | Health Concerns,Immune Health,naturopath for low immunity,Phrase,Enabled
WW | Search | Health Concerns,Immune Health,naturopath for low immunity,Exact,Enabled
WW | Search | Services,Nutrition & Diet Consult,nutrition consultation,Phrase,Enabled
WW | Search | Services,Nutrition & Diet Consult,nutrition consultation,Exact,Enabled
WW | Search | Services,Nutrition & Diet Consult,naturopath nutritionist,Phrase,Enabled
WW | Search | Services,Nutrition & Diet Consult,naturopath nutritionist,Exact,Enabled
WW | Search | Services,Nutrition & Diet Consult,diet and nutrition consult,Phrase,Enabled
WW | Search | Services,Nutrition & Diet Consult,diet and nutrition consult,Exact,Enabled
WW | Search | Services,Nutrition & Diet Consult,naturopath nutrition plan,Phrase,Enabled
WW | Search | Services,Nutrition & Diet Consult,naturopath nutrition plan,Exact,Enabled
WW | Search | Services,Nutrition & Diet Consult,natural nutrition advice,Phrase,Enabled
WW | Search | Services,Nutrition & Diet Consult,natural nutrition advice,Exact,Enabled
WW | Search | Services,Herbal Medicine,herbal medicine,Phrase,Enabled
WW | Search | Services,Herbal Medicine,herbal medicine,Exact,Enabled
WW | Search | Services,Herbal Medicine,medical herbalist,Phrase,Enabled
WW | Search | Services,Herbal Medicine,medical herbalist,Exact,Enabled
WW | Search | Services,Herbal Medicine,herbal medicine consultation,Phrase,Enabled
WW | Search | Services,Herbal Medicine,herbal medicine consultation,Exact,Enabled
WW | Search | Services,Herbal Medicine,herbal remedies naturopath,Phrase,Enabled
WW | Search | Services,Herbal Medicine,herbal remedies naturopath,Exact,Enabled
WW | Search | Services,Herbal Medicine,medical herbalist nz,Phrase,Enabled
WW | Search | Services,Herbal Medicine,medical herbalist nz,Exact,Enabled
WW | Search | Services,Functional Testing,functional testing,Phrase,Enabled
WW | Search | Services,Functional Testing,functional testing,Exact,Enabled
WW | Search | Services,Functional Testing,hormone testing naturopath,Phrase,Enabled
WW | Search | Services,Functional Testing,hormone testing naturopath,Exact,Enabled
WW | Search | Services,Functional Testing,naturopath blood testing,Phrase,Enabled
WW | Search | Services,Functional Testing,naturopath blood testing,Exact,Enabled
WW | Search | Services,Functional Testing,functional health testing,Phrase,Enabled
WW | Search | Services,Functional Testing,functional health testing,Exact,Enabled
WW | Search | Services,Functional Testing,naturopath lab testing,Phrase,Enabled
WW | Search | Services,Functional Testing,naturopath lab testing,Exact,Enabled
WW | Search | Brand,Waterwell – Brand,waterwell clinic,Phrase,Enabled
WW | Search | Brand,Waterwell – Brand,waterwell clinic,Exact,Enabled
WW | Search | Brand,Waterwell – Brand,waterwell naturopath,Phrase,Enabled
WW | Search | Brand,Waterwell – Brand,waterwell naturopath,Exact,Enabled
WW | Search | Brand,Waterwell – Brand,waterwell,Phrase,Enabled
WW | Search | Brand,Waterwell – Brand,waterwell,Exact,Enabled
WW | Search | Brand,Waterwell – Brand,kohei iguchi naturopath,Phrase,Enabled
WW | Search | Brand,Waterwell – Brand,kohei iguchi naturopath,Exact,Enabled
WW | Search | Brand,Waterwell – Brand,waterwellclinic,Phrase,Enabled
WW | Search | Brand,Waterwell – Brand,waterwellclinic,Exact,Enabled
